Category,Yavapai
Total_doses_administered,199070
Total_people_one_dose,113566
Total_people_complete,95650
Total_doses_ordered,174846
total_pouluation,232386
Male-65 years and older,24605
Male-55-64 years,8811
Male-45-54 years,5211
Male-20-44 years,10356
Male-Less than 20 years,2249
Female-65 years and older,30671
Female-55-64 years,11238
Female-45-54 years,6084
Female-20-44 years,10526
Female-Less than 20 years,2501
"Black or African American, non-Hispanic",636
"American Indian or Alaska Native, non-Hispanic",1181
"Asian or Pacific Islander, non-Hispanic",1493
Hispanic or Latino,7375
Other Race,17464
Unknown,27824
"White, non-Hispanic",57593
