Category,Gila
Total_doses_administered,56087
Total_people_one_dose,30438
Total_people_complete,27097
Total_doses_ordered,38260
total_pouluation,55159
Male-65 years and older,6021
Male-55-64 years,2696
Male-45-54 years,1695
Male-20-44 years,3404
Male-Less than 20 years,860
Female-65 years and older,6379
Female-55-64 years,3010
Female-45-54 years,1782
Female-20-44 years,3557
Female-Less than 20 years,972
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1412
Other Race,5024
Unknown,5563
"American Indian or Alaska Native, non-Hispanic",6252
"White, non-Hispanic",11826
