Category,Apache
Total_doses_administered,35016
Total_people_one_dose,19535
Total_people_complete,13142
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2010
Male-55-64 years,1363
Male-45-54 years,1083
Male-20-44 years,2661
Male-Less than 20 years,2596
Female-65 years and older,2130
Female-55-64 years,1487
Female-45-54 years,1082
Female-20-44 years,2463
Female-Less than 20 years,2650
"Asian or Pacific Islander, non-Hispanic",174
"Black or African American, non-Hispanic",300
Unknown,1066
Other Race,1330
Hispanic or Latino,1985
"White, non-Hispanic",3411
"American Indian or Alaska Native, non-Hispanic",11269
