Category,Navajo
Total_doses_administered,81223
Total_people_one_dose,45602
Total_people_complete,38684
Total_doses_ordered,44540
total_pouluation,112825
Male-65 years and older,7212
Male-55-64 years,3726
Male-45-54 years,2682
Male-20-44 years,5696
Male-Less than 20 years,3233
Female-65 years and older,7906
Female-55-64 years,3984
Female-45-54 years,2664
Female-20-44 years,5080
Female-Less than 20 years,3383
"Black or African American, non-Hispanic",235
"Asian or Pacific Islander, non-Hispanic",429
Hispanic or Latino,2382
Unknown,2397
Other Race,8585
"White, non-Hispanic",15471
"American Indian or Alaska Native, non-Hispanic",16103
