Category,Maricopa
Total_doses_administered,3318670
Total_people_one_dose,1879017
Total_people_complete,1637099
Total_doses_ordered,1701453
total_pouluation,4367835
Male-65 years and older,192377
Male-55-64 years,133878
Male-45-54 years,135596
Male-20-44 years,322048
Male-Less than 20 years,90964
Female-65 years and older,247782
Female-55-64 years,153914
Female-45-54 years,149307
Female-20-44 years,348027
Female-Less than 20 years,93216
"American Indian or Alaska Native, non-Hispanic",40977
"Black or African American, non-Hispanic",73847
"Asian or Pacific Islander, non-Hispanic",85245
Unknown,184687
Other Race,286683
Hispanic or Latino,351078
"White, non-Hispanic",856500
