Category,Cochise
Total_doses_administered,167943
Total_people_one_dose,82645
Total_people_complete,67573
total_pouluation,82645
Male-65 years and older,11397
Male-55-64 years,5630
Male-45-54 years,4407
Male-20-44 years,11802
Male-Less than 20 years,5714
Female-65 years and older,13346
Female-55-64 years,6669
Female-45-54 years,4946
Female-20-44 years,12534
Female-Less than 20 years,6098
"American Indian or Alaska Native, non-Hispanic",366
"Asian or Pacific Islander, non-Hispanic",1503
"Black or African American, non-Hispanic",1600
Unknown,9889
Other Race,12043
Hispanic or Latino,23755
"White, non-Hispanic",33489
