Category,Arizona
Total_doses_administered,9882671
Total_people_complete,3963543
total_pouluation,7189020
Total_people_one_dose,4714710
Male-65 years and older,573905
Male-55-64 years,333629
Male-45-54 years,301072
Male-20-44 years,749551
Male-Less than 20 years,273100
Female-65 years and older,697359
Female-55-64 years,379111
Female-45-54 years,323993
Female-20-44 years,783373
Female-Less than 20 years,279696
"Black or African American, non-Hispanic",142940
"Asian or Pacific Islander, non-Hispanic",180379
"American Indian or Alaska Native, non-Hispanic",203352
Unknown,429242
Other Race,673000
Hispanic or Latino,882767
"White, non-Hispanic",2203030
