Category,Navajo
Total_doses_administered,101952
Total_people_one_dose,49849
Total_people_complete,40867
total_pouluation,49849
Male-65 years and older,7419
Male-55-64 years,3610
Male-45-54 years,2747
Male-20-44 years,5908
Male-Less than 20 years,4483
Female-65 years and older,8333
Female-55-64 years,4138
Female-45-54 years,2750
Female-20-44 years,5810
Female-Less than 20 years,4614
"Black or African American, non-Hispanic",204
"Asian or Pacific Islander, non-Hispanic",369
Unknown,2385
Hispanic or Latino,2542
Other Race,6362
"White, non-Hispanic",16182
"American Indian or Alaska Native, non-Hispanic",21805
