Category,La Paz
Total_doses_administered,18331
Total_people_one_dose,9073
Total_people_complete,7564
total_pouluation,9073
Male-65 years and older,2452
Male-55-64 years,626
Male-45-54 years,326
Male-20-44 years,689
Male-Less than 20 years,381
Female-65 years and older,2469
Female-55-64 years,748
Female-45-54 years,380
Female-20-44 years,606
Female-Less than 20 years,377
"Black or African American, non-Hispanic",41
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",544
Other Race,1193
Hispanic or Latino,1354
Unknown,1865
"White, non-Hispanic",3987
