Category,Yavapai
Total_doses_administered,251746
Total_people_one_dose,118752
Total_people_complete,99765
total_pouluation,118752
Male-65 years and older,26199
Male-55-64 years,9297
Male-45-54 years,5127
Male-20-44 years,10371
Male-Less than 20 years,3011
Female-65 years and older,31875
Female-55-64 years,11693
Female-45-54 years,6093
Female-20-44 years,10638
Female-Less than 20 years,3299
"Black or African American, non-Hispanic",578
"American Indian or Alaska Native, non-Hispanic",1449
"Asian or Pacific Islander, non-Hispanic",1468
Hispanic or Latino,8307
Other Race,17434
Unknown,18677
"White, non-Hispanic",70839
