Category,Apache
Total_doses_administered,62598
Total_people_one_dose,29935
Total_people_complete,22913
total_pouluation,29935
Male-65 years and older,2823
Male-55-64 years,2063
Male-45-54 years,1653
Male-20-44 years,3962
Male-Less than 20 years,4139
Female-65 years and older,3395
Female-55-64 years,2210
Female-45-54 years,1623
Female-20-44 years,3857
Female-Less than 20 years,4201
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,580
Other Race,1161
Unknown,1162
"White, non-Hispanic",3674
"American Indian or Alaska Native, non-Hispanic",23163
