Category,Maricopa
Total_doses_administered,5713857
Total_people_one_dose,2680029
Total_people_complete,2318133
total_pouluation,2680029
Male-65 years and older,288334
Male-55-64 years,190447
Male-45-54 years,184826
Male-20-44 years,443554
Male-Less than 20 years,153240
Female-65 years and older,360103
Female-55-64 years,214009
Female-45-54 years,200199
Female-20-44 years,474651
Female-Less than 20 years,156232
"American Indian or Alaska Native, non-Hispanic",52536
"Black or African American, non-Hispanic",104272
"Asian or Pacific Islander, non-Hispanic",136109
Unknown,180393
Other Race,431109
Hispanic or Latino,453979
"White, non-Hispanic",1321631
