Category,Greenlee
Total_doses_administered,8944
Total_people_one_dose,5181
Total_people_complete,4353
Total_doses_ordered,10440
total_pouluation,10375
Male-65 years and older,564
Male-55-64 years,618
Male-45-54 years,529
Male-20-44 years,1113
Male-Less than 20 years,99
Female-65 years and older,535
Female-55-64 years,426
Female-45-54 years,385
Female-20-44 years,818
Female-Less than 20 years,91
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",51
"American Indian or Alaska Native, non-Hispanic",96
Other Race,142
Unknown,469
"White, non-Hispanic",2121
Hispanic or Latino,2255
