Category,Mohave
Total_doses_administered,157881
Total_people_one_dose,90780
Total_people_complete,74961
Total_doses_ordered,129340
total_pouluation,216985
Male-65 years and older,21737
Male-55-64 years,8545
Male-45-54 years,4426
Male-20-44 years,7389
Male-Less than 20 years,1331
Female-65 years and older,24237
Female-55-64 years,9942
Female-45-54 years,4688
Female-20-44 years,6891
Female-Less than 20 years,1436
"Black or African American, non-Hispanic",628
"American Indian or Alaska Native, non-Hispanic",940
"Asian or Pacific Islander, non-Hispanic",1311
Hispanic or Latino,6508
Unknown,15243
Other Race,16062
"White, non-Hispanic",50088
