Category,Arizona
Total_doses_administered,7305298
Total_people_complete,3526473
Total_doses_ordered,5297970
total_pouluation,7189020
Total_people_one_dose,4012495
Male-65 years and older,522064
Male-55-64 years,301447
Male-45-54 years,263730
Male-20-44 years,626503
Male-Less than 20 years,165477
Female-65 years and older,643640
Female-55-64 years,346719
Female-45-54 years,288636
Female-20-44 years,661078
Female-Less than 20 years,173701
"Black or African American, non-Hispanic",109895
"American Indian or Alaska Native, non-Hispanic",118882
"Asian or Pacific Islander, non-Hispanic",150339
Unknown,431362
Other Race,675856
Hispanic or Latino,680949
"White, non-Hispanic",1845212
