Category,Gila
Total_doses_administered,53702
Total_people_one_dose,29581
Total_people_complete,26099
Total_doses_ordered,37330
total_pouluation,55159
Male-65 years and older,5925
Male-55-64 years,2665
Male-45-54 years,1641
Male-20-44 years,3258
Male-Less than 20 years,773
Female-65 years and older,6280
Female-55-64 years,2958
Female-45-54 years,1731
Female-20-44 years,3374
Female-Less than 20 years,914
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1357
Other Race,4912
Unknown,5462
"American Indian or Alaska Native, non-Hispanic",5985
"White, non-Hispanic",11505
