Category,Navajo
Total_doses_administered,77786
Total_people_one_dose,43872
Total_people_complete,37189
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6989
Male-55-64 years,3628
Male-45-54 years,2565
Male-20-44 years,5408
Male-Less than 20 years,3093
Female-65 years and older,7673
Female-55-64 years,3886
Female-45-54 years,2591
Female-20-44 years,4783
Female-Less than 20 years,3222
"Black or African American, non-Hispanic",227
"Asian or Pacific Islander, non-Hispanic",419
Unknown,2229
Hispanic or Latino,2273
Other Race,8394
"White, non-Hispanic",14743
"American Indian or Alaska Native, non-Hispanic",15587
