Category,Coconino
Total_doses_administered,152241
Total_people_one_dose,83715
Total_people_complete,75152
Total_doses_ordered,97448
total_pouluation,147275
Male-65 years and older,7822
Male-55-64 years,6090
Male-45-54 years,5484
Male-20-44 years,16632
Male-Less than 20 years,3226
Female-65 years and older,8910
Female-55-64 years,6811
Female-45-54 years,5622
Female-20-44 years,19092
Female-Less than 20 years,3943
"Black or African American, non-Hispanic",614
"Asian or Pacific Islander, non-Hispanic",1261
Hispanic or Latino,5955
Other Race,9707
Unknown,16997
"American Indian or Alaska Native, non-Hispanic",17490
"White, non-Hispanic",31691
