,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5408077,1525779,16368,91252,125361,45235,17115,7953,15538,2023321,118719,45164,728585,227817,48805,162110,155423
Total_people_one_dose,3076913,835503,9310,52864,68715,25175,9581,4512,8696,1205779,69891,26486,416709,133349,27887,93772,88684
Total_people_complete,2534272,,,,,,,,,,,,,,,,
Total_doses_ordered,5121400,,,,,,,,,,,,,,,,
65 years and older,587627,,,,,,,,,,,,,,,,
55-64 years,301270,,,,,,,,,,,,,,,,
45-54 years,227420,,,,,,,,,,,,,,,,
20-44 years,481932,,,,,,,,,,,,,,,,
Less than 20 years,56412,,,,,,,,,,,,,,,,
65 years and older,8696,,,,,,,,,,,,,,,,
55-64 years,253297,,,,,,,,,,,,,,,,
45-54 years,200036,,,,,,,,,,,,,,,,
20-44 years,436950,,,,,,,,,,,,,,,,
Less than 20 years,48838,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",70966,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",74053,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",114555,,,,,,,,,,,,,,,,
Hispanic or Latino,406295,,,,,,,,,,,,,,,,
Unknown,417476,,,,,,,,,,,,,,,,
Other Race,521318,,,,,,,,,,,,,,,,
"White, non-Hispanic",1472250,,,,,,,,,,,,,,,,
