Category,Cochise
Total_doses_administered,127421
Total_people_one_dose,71091
Total_people_complete,62718
Total_doses_ordered,94300
total_pouluation,130808
Male-65 years and older,10994
Male-55-64 years,5321
Male-45-54 years,3950
Male-20-44 years,10419
Male-Less than 20 years,2975
Female-65 years and older,13012
Female-55-64 years,6415
Female-45-54 years,4527
Female-20-44 years,10372
Female-Less than 20 years,3014
"American Indian or Alaska Native, non-Hispanic",342
"Asian or Pacific Islander, non-Hispanic",1341
"Black or African American, non-Hispanic",1362
Unknown,9580
Other Race,10766
Hispanic or Latino,17387
"White, non-Hispanic",30313
