Category,Arizona
Total_doses_administered,7693838
Total_people_complete,3699483
Total_doses_ordered,5410140
total_pouluation,7189020
Total_people_one_dose,4181406
Male-65 years and older,540106
Male-55-64 years,309099
Male-45-54 years,274175
Male-20-44 years,661402
Male-Less than 20 years,177608
Female-65 years and older,664057
Female-55-64 years,355019
Female-45-54 years,298821
Female-20-44 years,695749
Female-Less than 20 years,185661
"Black or African American, non-Hispanic",116804
"American Indian or Alaska Native, non-Hispanic",125946
"Asian or Pacific Islander, non-Hispanic",154420
Unknown,447219
Other Race,698111
Hispanic or Latino,722909
"White, non-Hispanic",1915997
