Category,Graham
Total_doses_administered,23889
Total_people_one_dose,13308
Total_people_complete,11839
Total_doses_ordered,21720
total_pouluation,38476
Male-65 years and older,1720
Male-55-64 years,1052
Male-45-54 years,953
Male-20-44 years,2299
Male-Less than 20 years,501
Female-65 years and older,2178
Female-55-64 years,1208
Female-45-54 years,875
Female-20-44 years,1933
Female-Less than 20 years,578
"Asian or Pacific Islander, non-Hispanic",68
"Black or African American, non-Hispanic",79
Other Race,1012
"American Indian or Alaska Native, non-Hispanic",1127
Hispanic or Latino,2205
Unknown,4187
"White, non-Hispanic",4630
