Category,Coconino
Total_doses_administered,157548
Total_people_one_dose,86439
Total_people_complete,77495
Total_doses_ordered,109804
total_pouluation,147275
Male-65 years and older,8130
Male-55-64 years,6204
Male-45-54 years,5631
Male-20-44 years,17247
Male-Less than 20 years,3440
Female-65 years and older,9218
Female-55-64 years,6912
Female-45-54 years,5757
Female-20-44 years,19708
Female-Less than 20 years,4099
"Black or African American, non-Hispanic",652
"Asian or Pacific Islander, non-Hispanic",1311
Hispanic or Latino,6377
Other Race,9922
Unknown,17189
"American Indian or Alaska Native, non-Hispanic",18091
"White, non-Hispanic",32897
