Category,Yuma
Total_doses_administered,230915
Total_people_one_dose,129495
Total_people_complete,110359
Total_doses_ordered,153008
total_pouluation,229957
Male-65 years and older,16322
Male-55-64 years,9171
Male-45-54 years,8205
Male-20-44 years,24706
Male-Less than 20 years,6296
Female-65 years and older,18434
Female-55-64 years,9620
Female-45-54 years,8432
Female-20-44 years,21223
Female-Less than 20 years,6665
"Asian or Pacific Islander, non-Hispanic",789
"Black or African American, non-Hispanic",791
"American Indian or Alaska Native, non-Hispanic",1698
Other Race,11615
"White, non-Hispanic",23432
Unknown,34185
Hispanic or Latino,56985
