Category,Apache
Total_doses_administered,35162
Total_people_one_dose,19635
Total_people_complete,13188
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2022
Male-55-64 years,1375
Male-45-54 years,1089
Male-20-44 years,2672
Male-Less than 20 years,2602
Female-65 years and older,2153
Female-55-64 years,1493
Female-45-54 years,1089
Female-20-44 years,2472
Female-Less than 20 years,2658
"Asian or Pacific Islander, non-Hispanic",174
"Black or African American, non-Hispanic",300
Unknown,1072
Other Race,1331
Hispanic or Latino,1988
"White, non-Hispanic",3426
"American Indian or Alaska Native, non-Hispanic",11344
