Category,Coconino
Total_doses_administered,218643
Total_people_one_dose,98094
Total_people_complete,83290
total_pouluation,98094
Male-65 years and older,9643
Male-55-64 years,6502
Male-45-54 years,5949
Male-20-44 years,17760
Male-Less than 20 years,6716
Female-65 years and older,10840
Female-55-64 years,7273
Female-45-54 years,6000
Female-20-44 years,20187
Female-Less than 20 years,6946
"Black or African American, non-Hispanic",829
"Asian or Pacific Islander, non-Hispanic",1781
Hispanic or Latino,7727
Other Race,8937
Unknown,12318
"American Indian or Alaska Native, non-Hispanic",23554
"White, non-Hispanic",42948
