Category,Yavapai
Total_doses_administered,261327
Total_people_one_dose,121235
Total_people_complete,101352
total_pouluation,121235
Male-65 years and older,26690
Male-55-64 years,9422
Male-45-54 years,5199
Male-20-44 years,10711
Male-Less than 20 years,3176
Female-65 years and older,32414
Female-55-64 years,11889
Female-45-54 years,6184
Female-20-44 years,10939
Female-Less than 20 years,3465
"Black or African American, non-Hispanic",608
"American Indian or Alaska Native, non-Hispanic",1491
"Asian or Pacific Islander, non-Hispanic",1520
Hispanic or Latino,8658
Other Race,17814
Unknown,18418
"White, non-Hispanic",72726
