Category,Greenlee
Total_doses_administered,9990
Total_people_one_dose,4476
Total_people_complete,3871
total_pouluation,4476
Male-65 years and older,519
Male-55-64 years,383
Male-45-54 years,334
Male-20-44 years,806
Male-Less than 20 years,235
Female-65 years and older,522
Female-55-64 years,318
Female-45-54 years,332
Female-20-44 years,776
Female-Less than 20 years,249
"Asian or Pacific Islander, non-Hispanic",48
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",127
Unknown,302
"White, non-Hispanic",1821
Hispanic or Latino,2029
