Category,Yuma
Total_doses_administered,336007
Total_people_one_dose,166278
Total_people_complete,130074
total_pouluation,166278
Male-65 years and older,17755
Male-55-64 years,10983
Male-45-54 years,9499
Male-20-44 years,29241
Male-Less than 20 years,13815
Female-65 years and older,20325
Female-55-64 years,11807
Female-45-54 years,10470
Female-20-44 years,27552
Female-Less than 20 years,14185
"Black or African American, non-Hispanic",873
"American Indian or Alaska Native, non-Hispanic",1214
"Asian or Pacific Islander, non-Hispanic",1274
Other Race,20013
Unknown,30254
"White, non-Hispanic",36901
Hispanic or Latino,75749
