Category,Navajo
Total_doses_administered,107055
Total_people_one_dose,51524
Total_people_complete,41652
total_pouluation,51524
Male-65 years and older,7570
Male-55-64 years,3692
Male-45-54 years,2828
Male-20-44 years,6115
Male-Less than 20 years,4792
Female-65 years and older,8534
Female-55-64 years,4217
Female-45-54 years,2834
Female-20-44 years,6018
Female-Less than 20 years,4885
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",384
Unknown,2481
Hispanic or Latino,2686
Other Race,6455
"White, non-Hispanic",16513
"American Indian or Alaska Native, non-Hispanic",22790
