Category,Mohave
Total_doses_administered,196237
Total_people_one_dose,93499
Total_people_complete,78141
total_pouluation,93499
Male-65 years and older,21656
Male-55-64 years,8495
Male-45-54 years,4433
Male-20-44 years,7889
Male-Less than 20 years,2000
Female-65 years and older,23711
Female-55-64 years,9823
Female-45-54 years,4987
Female-20-44 years,8112
Female-Less than 20 years,2213
"Black or African American, non-Hispanic",656
"American Indian or Alaska Native, non-Hispanic",784
"Asian or Pacific Islander, non-Hispanic",1441
Hispanic or Latino,7687
Unknown,11682
Other Race,14745
"White, non-Hispanic",56504
