Category,La Paz
Total_doses_administered,18951
Total_people_one_dose,9284
Total_people_complete,7628
total_pouluation,9284
Male-65 years and older,2515
Male-55-64 years,652
Male-45-54 years,336
Male-20-44 years,702
Male-Less than 20 years,396
Female-65 years and older,2499
Female-55-64 years,766
Female-45-54 years,386
Female-20-44 years,627
Female-Less than 20 years,386
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",93
"American Indian or Alaska Native, non-Hispanic",555
Other Race,1217
Hispanic or Latino,1388
Unknown,1920
"White, non-Hispanic",4068
