Category,Arizona
Total_doses_administered,10378699
Total_people_complete,4029268
total_pouluation,7189020
Total_people_one_dose,4862631
Male-65 years and older,586946
Male-55-64 years,340696
Male-45-54 years,307874
Male-20-44 years,771521
Male-Less than 20 years,295918
Female-65 years and older,712997
Female-55-64 years,387271
Female-45-54 years,331398
Female-20-44 years,806848
Female-Less than 20 years,301277
"Black or African American, non-Hispanic",148944
"Asian or Pacific Islander, non-Hispanic",187036
"American Indian or Alaska Native, non-Hispanic",211621
Unknown,438004
Other Race,687453
Hispanic or Latino,929342
"White, non-Hispanic",2260231
