Category,Cochise
Total_doses_administered,177858
Total_people_one_dose,85803
Total_people_complete,69110
total_pouluation,85803
Male-65 years and older,11608
Male-55-64 years,5748
Male-45-54 years,4575
Male-20-44 years,12224
Male-Less than 20 years,6348
Female-65 years and older,13598
Female-55-64 years,6838
Female-45-54 years,5130
Female-20-44 years,12975
Female-Less than 20 years,6656
"American Indian or Alaska Native, non-Hispanic",379
"Asian or Pacific Islander, non-Hispanic",1544
"Black or African American, non-Hispanic",1662
Unknown,10276
Other Race,12297
Hispanic or Latino,25488
"White, non-Hispanic",34157
