Category,Santa Cruz
Total_doses_administered,122541
Total_people_one_dose,62072
Total_people_complete,45989
total_pouluation,62072
Male-65 years and older,4923
Male-55-64 years,3492
Male-45-54 years,3667
Male-20-44 years,9655
Male-Less than 20 years,7983
Female-65 years and older,5964
Female-55-64 years,3897
Female-45-54 years,4035
Female-20-44 years,10219
Female-Less than 20 years,8144
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",191
Other Race,3660
Unknown,5065
"White, non-Hispanic",7952
Hispanic or Latino,45085
