Category,Apache
Total_doses_administered,66129
Total_people_one_dose,31140
Total_people_complete,23339
total_pouluation,31140
Male-65 years and older,2898
Male-55-64 years,2110
Male-45-54 years,1707
Male-20-44 years,4103
Male-Less than 20 years,4398
Female-65 years and older,3479
Female-55-64 years,2273
Female-45-54 years,1683
Female-20-44 years,3996
Female-Less than 20 years,4483
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",139
Hispanic or Latino,615
Other Race,1183
Unknown,1185
"White, non-Hispanic",3743
"American Indian or Alaska Native, non-Hispanic",24214
