Category,Navajo
Total_doses_administered,108179
Total_people_one_dose,51832
Total_people_complete,41843
total_pouluation,51832
Male-65 years and older,7606
Male-55-64 years,3705
Male-45-54 years,2838
Male-20-44 years,6166
Male-Less than 20 years,4835
Female-65 years and older,8568
Female-55-64 years,4229
Female-45-54 years,2851
Female-20-44 years,6063
Female-Less than 20 years,4931
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",385
Unknown,2515
Hispanic or Latino,2723
Other Race,6467
"White, non-Hispanic",16568
"American Indian or Alaska Native, non-Hispanic",22959
