Category,Coconino
Total_doses_administered,220517
Total_people_one_dose,98470
Total_people_complete,83532
total_pouluation,98470
Male-65 years and older,9668
Male-55-64 years,6519
Male-45-54 years,5965
Male-20-44 years,17832
Male-Less than 20 years,6762
Female-65 years and older,10869
Female-55-64 years,7292
Female-45-54 years,6014
Female-20-44 years,20260
Female-Less than 20 years,7013
"Black or African American, non-Hispanic",837
"Asian or Pacific Islander, non-Hispanic",1799
Hispanic or Latino,7792
Other Race,8964
Unknown,12278
"American Indian or Alaska Native, non-Hispanic",23670
"White, non-Hispanic",43130
