Category,Mohave
Total_doses_administered,197781
Total_people_one_dose,93837
Total_people_complete,78367
total_pouluation,93837
Male-65 years and older,21744
Male-55-64 years,8513
Male-45-54 years,4449
Male-20-44 years,7923
Male-Less than 20 years,2011
Female-65 years and older,23780
Female-55-64 years,9841
Female-45-54 years,5006
Female-20-44 years,8152
Female-Less than 20 years,2237
"Black or African American, non-Hispanic",660
"American Indian or Alaska Native, non-Hispanic",787
"Asian or Pacific Islander, non-Hispanic",1448
Hispanic or Latino,7742
Unknown,11695
Other Race,14787
"White, non-Hispanic",56718
