Category,La Paz
Total_doses_administered,19001
Total_people_one_dose,9314
Total_people_complete,7634
total_pouluation,9314
Male-65 years and older,2519
Male-55-64 years,654
Male-45-54 years,336
Male-20-44 years,706
Male-Less than 20 years,398
Female-65 years and older,2507
Female-55-64 years,768
Female-45-54 years,385
Female-20-44 years,631
Female-Less than 20 years,391
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",94
"American Indian or Alaska Native, non-Hispanic",556
Other Race,1219
Hispanic or Latino,1397
Unknown,1919
"White, non-Hispanic",4085
