Category,Pinal
Total_doses_administered,557918
Total_people_one_dose,264128
Total_people_complete,225883
total_pouluation,264128
Male-65 years and older,38326
Male-55-64 years,18997
Male-45-54 years,17395
Male-20-44 years,40088
Male-Less than 20 years,14355
Female-65 years and older,43979
Female-55-64 years,21478
Female-45-54 years,17762
Female-20-44 years,36905
Female-Less than 20 years,14104
"Asian or Pacific Islander, non-Hispanic",5477
"Black or African American, non-Hispanic",9800
"American Indian or Alaska Native, non-Hispanic",10537
Unknown,30761
Other Race,32181
Hispanic or Latino,43603
"White, non-Hispanic",131769
