Category,Yuma
Total_doses_administered,338424
Total_people_one_dose,167158
Total_people_complete,130388
total_pouluation,167158
Male-65 years and older,17822
Male-55-64 years,11022
Male-45-54 years,9532
Male-20-44 years,29431
Male-Less than 20 years,13929
Female-65 years and older,20416
Female-55-64 years,11837
Female-45-54 years,10501
Female-20-44 years,27708
Female-Less than 20 years,14306
"Black or African American, non-Hispanic",879
"American Indian or Alaska Native, non-Hispanic",1222
"Asian or Pacific Islander, non-Hispanic",1277
Other Race,20059
Unknown,30376
"White, non-Hispanic",37061
Hispanic or Latino,76284
