Category,Maricopa
Total_doses_administered,6036919
Total_people_one_dose,2765900
Total_people_complete,2359541
total_pouluation,2765900
Male-65 years and older,294645
Male-55-64 years,194256
Male-45-54 years,188991
Male-20-44 years,456862
Male-Less than 20 years,167480
Female-65 years and older,368247
Female-55-64 years,218283
Female-45-54 years,204570
Female-20-44 years,488724
Female-Less than 20 years,169561
"American Indian or Alaska Native, non-Hispanic",54360
"Black or African American, non-Hispanic",108955
"Asian or Pacific Islander, non-Hispanic",141369
Unknown,186760
Other Race,439668
Hispanic or Latino,479725
"White, non-Hispanic",1355063
