Category,Cochise
Total_doses_administered,179469
Total_people_one_dose,86308
Total_people_complete,69354
total_pouluation,86308
Male-65 years and older,11670
Male-55-64 years,5763
Male-45-54 years,4592
Male-20-44 years,12304
Male-Less than 20 years,6427
Female-65 years and older,13645
Female-55-64 years,6859
Female-45-54 years,5151
Female-20-44 years,13051
Female-Less than 20 years,6744
"American Indian or Alaska Native, non-Hispanic",380
"Asian or Pacific Islander, non-Hispanic",1547
"Black or African American, non-Hispanic",1670
Unknown,10454
Other Race,12312
Hispanic or Latino,25725
"White, non-Hispanic",34220
