Category,Greenlee
Total_doses_administered,10044
Total_people_one_dose,4487
Total_people_complete,3877
total_pouluation,4487
Male-65 years and older,520
Male-55-64 years,383
Male-45-54 years,334
Male-20-44 years,807
Male-Less than 20 years,239
Female-65 years and older,522
Female-55-64 years,319
Female-45-54 years,333
Female-20-44 years,777
Female-Less than 20 years,251
"Asian or Pacific Islander, non-Hispanic",49
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",127
Unknown,303
"White, non-Hispanic",1825
Hispanic or Latino,2034
