Category,Apache
Total_doses_administered,74228
Total_people_one_dose,33472
Total_people_complete,28221
total_pouluation,33472
Male-65 years and older,3063
Male-55-64 years,2243
Male-45-54 years,1834
Male-20-44 years,4474
Male-Less than 20 years,4659
Female-65 years and older,3715
Female-55-64 years,2475
Female-45-54 years,1868
Female-20-44 years,4372
Female-Less than 20 years,4758
"Black or African American, non-Hispanic",64
"Asian or Pacific Islander, non-Hispanic",146
Hispanic or Latino,633
Unknown,1210
Other Race,1230
"White, non-Hispanic",3854
"American Indian or Alaska Native, non-Hispanic",26335
