Category,Santa Cruz
Total_doses_administered,127742
Total_people_one_dose,65186
Total_people_complete,49427
total_pouluation,65186
Male-65 years and older,4804
Male-55-64 years,3529
Male-45-54 years,3775
Male-20-44 years,9951
Male-Less than 20 years,9230
Female-65 years and older,5861
Female-55-64 years,3970
Female-45-54 years,4181
Female-20-44 years,10604
Female-Less than 20 years,9175
"American Indian or Alaska Native, non-Hispanic",56
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",187
Other Race,3671
Unknown,6009
"White, non-Hispanic",7654
Hispanic or Latino,47551
