Category,Arizona
Total_doses_administered,10689876
Total_people_complete,4196274
total_pouluation,7189020
Total_people_one_dose,4938219
Male-65 years and older,590941
Male-55-64 years,343207
Male-45-54 years,311222
Male-20-44 years,783892
Male-Less than 20 years,312164
Female-65 years and older,716849
Female-55-64 years,389842
Female-45-54 years,334905
Female-20-44 years,818706
Female-Less than 20 years,316595
"Black or African American, non-Hispanic",151935
"Asian or Pacific Islander, non-Hispanic",189926
"American Indian or Alaska Native, non-Hispanic",220179
Unknown,444543
Other Race,690742
Hispanic or Latino,960790
"White, non-Hispanic",2280104
