Category,Maricopa
Total_doses_administered,6233612
Total_people_one_dose,2822283
Total_people_complete,2473516
total_pouluation,2822283
Male-65 years and older,298411
Male-55-64 years,197290
Male-45-54 years,192926
Male-20-44 years,465961
Male-Less than 20 years,176226
Female-65 years and older,372364
Female-55-64 years,221089
Female-45-54 years,208423
Female-20-44 years,497645
Female-Less than 20 years,177621
"American Indian or Alaska Native, non-Hispanic",55395
"Black or African American, non-Hispanic",111584
"Asian or Pacific Islander, non-Hispanic",144013
Unknown,191189
Other Race,444327
Hispanic or Latino,494038
"White, non-Hispanic",1381737
