Category,La Paz
Total_doses_administered,19046
Total_people_one_dose,9303
Total_people_complete,7733
total_pouluation,9303
Male-65 years and older,2519
Male-55-64 years,652
Male-45-54 years,333
Male-20-44 years,713
Male-Less than 20 years,415
Female-65 years and older,2490
Female-55-64 years,763
Female-45-54 years,387
Female-20-44 years,626
Female-Less than 20 years,387
"Black or African American, non-Hispanic",40
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",566
Other Race,1209
Hispanic or Latino,1403
Unknown,1935
"White, non-Hispanic",4058
