Category,Coconino
Total_doses_administered,212254
Total_people_one_dose,93983
Total_people_complete,82824
total_pouluation,93983
Male-65 years and older,8448
Male-55-64 years,6063
Male-45-54 years,5781
Male-20-44 years,17568
Male-Less than 20 years,6886
Female-65 years and older,9456
Female-55-64 years,6735
Female-45-54 years,5757
Female-20-44 years,20046
Female-Less than 20 years,7066
"Black or African American, non-Hispanic",827
"Asian or Pacific Islander, non-Hispanic",1728
Hispanic or Latino,7614
Other Race,8056
Unknown,11374
"American Indian or Alaska Native, non-Hispanic",24047
"White, non-Hispanic",40337
