Category,Mohave
Total_doses_administered,201448
Total_people_one_dose,94672
Total_people_complete,79796
total_pouluation,94672
Male-65 years and older,21879
Male-55-64 years,8574
Male-45-54 years,4506
Male-20-44 years,8024
Male-Less than 20 years,2072
Female-65 years and older,23893
Female-55-64 years,9921
Female-45-54 years,5044
Female-20-44 years,8276
Female-Less than 20 years,2302
"Black or African American, non-Hispanic",672
"American Indian or Alaska Native, non-Hispanic",789
"Asian or Pacific Islander, non-Hispanic",1466
Hispanic or Latino,7870
Unknown,11701
Other Race,14838
"White, non-Hispanic",57336
