Category,Cochise
Total_doses_administered,189326
Total_people_one_dose,90411
Total_people_complete,74976
total_pouluation,90411
Male-65 years and older,12021
Male-55-64 years,6016
Male-45-54 years,4804
Male-20-44 years,12935
Male-Less than 20 years,7044
Female-65 years and older,14033
Female-55-64 years,7102
Female-45-54 years,5391
Female-20-44 years,13689
Female-Less than 20 years,7273
"American Indian or Alaska Native, non-Hispanic",388
"Asian or Pacific Islander, non-Hispanic",1590
"Black or African American, non-Hispanic",1699
Unknown,10971
Other Race,12655
Hispanic or Latino,27907
"White, non-Hispanic",35201
