Category,Pima
Total_doses_administered,1034910
Total_people_one_dose,573356
Total_people_complete,508091
Total_doses_ordered,650267
total_pouluation,1044675
Male-65 years and older,77832
Male-55-64 years,38678
Male-45-54 years,33959
Male-20-44 years,86337
Male-Less than 20 years,23847
Female-65 years and older,101829
Female-55-64 years,47486
Female-45-54 years,39593
Female-20-44 years,97606
Female-Less than 20 years,25176
"Black or African American, non-Hispanic",11634
"American Indian or Alaska Native, non-Hispanic",12403
"Asian or Pacific Islander, non-Hispanic",14403
Other Race,73876
Unknown,83983
Hispanic or Latino,138550
"White, non-Hispanic",238507
