Category,Coconino
Total_doses_administered,160768
Total_people_one_dose,87736
Total_people_complete,78566
Total_doses_ordered,110439
total_pouluation,147275
Male-65 years and older,8394
Male-55-64 years,6275
Male-45-54 years,5678
Male-20-44 years,17440
Male-Less than 20 years,3501
Female-65 years and older,9486
Female-55-64 years,6975
Female-45-54 years,5821
Female-20-44 years,19930
Female-Less than 20 years,4139
"Black or African American, non-Hispanic",670
"Asian or Pacific Islander, non-Hispanic",1334
Hispanic or Latino,6503
Other Race,10059
Unknown,17219
"American Indian or Alaska Native, non-Hispanic",18293
"White, non-Hispanic",33658
