Category,Cochise
Total_doses_administered,129219
Total_people_one_dose,72017
Total_people_complete,63417
Total_doses_ordered,94500
total_pouluation,130808
Male-65 years and older,11101
Male-55-64 years,5355
Male-45-54 years,4021
Male-20-44 years,10635
Male-Less than 20 years,3032
Female-65 years and older,13132
Female-55-64 years,6458
Female-45-54 years,4579
Female-20-44 years,10535
Female-Less than 20 years,3076
"American Indian or Alaska Native, non-Hispanic",348
"Asian or Pacific Islander, non-Hispanic",1359
"Black or African American, non-Hispanic",1382
Unknown,9703
Other Race,10895
Hispanic or Latino,17625
"White, non-Hispanic",30705
