Category,Santa Cruz
Total_doses_administered,74640
Total_people_one_dose,41346
Total_people_complete,37441
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3711
Male-55-64 years,2690
Male-45-54 years,3178
Male-20-44 years,8163
Male-Less than 20 years,2870
Female-65 years and older,4483
Female-55-64 years,2729
Female-45-54 years,2993
Female-20-44 years,7556
Female-Less than 20 years,2903
"American Indian or Alaska Native, non-Hispanic",20
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",103
Other Race,2091
Unknown,2401
"White, non-Hispanic",4987
Hispanic or Latino,31706
