Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7885087,36295,160768,129219,24301,9830,56845,18771,3456646,168476,82915,346032,1034910,74640,201536,235129
Total_people_complete,3781360,13489,78566,63417,12077,4778,27500,9197,1705655,80175,39498,176635,508091,37441,97050,112042
Total_doses_ordered,5445296,18600,110439,94500,21940,12630,39830,19400,1741330,138430,44905,203332,650267,49512,177046,154328
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,4271482,20524,87736,72017,13489,5565,30781,10391,1953712,95555,46633,197789,573356,41346,114905,131412
Male-65 years and older,560528,2148,8394,11101,1734,581,6091,3224,210515,22516,7413,31937,77832,3711,24922,16478
Male-55-64 years,313135,1450,6275,5355,1056,635,2712,723,137199,8879,3775,14587,38678,2690,8871,9282
Male-45-54 years,277794,1138,5678,4021,970,568,1711,358,138406,4706,2734,13938,33959,3178,5282,8328
Male-20-44 years,673353,2788,17440,10635,2331,1244,3462,646,330660,8096,5838,33861,86337,8163,10538,25199
Male-Less than 20 years,180411,2620,3501,3032,508,130,872,238,93060,1567,3284,6778,23847,2870,2264,6464
Female-65 years and older,687275,2333,9486,13132,2193,547,6440,3118,268211,25030,8146,36508,101829,4483,31029,18627
Female-55-64 years,359788,1596,6975,6458,1217,428,3028,881,157864,10343,4064,15541,47486,2729,11303,9700
Female-45-54 years,302863,1165,5821,4579,888,404,1802,388,152580,5018,2708,12506,39593,2993,6144,8529
Female-20-44 years,707970,2606,19930,10535,1986,910,3606,563,357808,7550,5209,24788,97606,7556,10706,21544
Female-Less than 20 years,188482,2670,4139,3076,594,115,994,225,95370,1683,3426,6740,25176,2903,2529,6836
"Black or African American, non-Hispanic",119938,311,670,1382,81,50,102,36,76635,691,244,5909,11634,38,645,823
"American Indian or Alaska Native, non-Hispanic",128922,12076,18293,348,1137,105,6327,289,42299,999,16369,9505,12403,20,1205,1727
"Asian or Pacific Islander, non-Hispanic",156915,181,1334,1359,71,52,265,79,87481,1380,432,3550,14403,103,1507,810
Unknown,450345,1083,17219,9703,4239,524,5580,2758,188513,16282,2507,38981,83983,2401,27921,34372
Other Race,712903,1346,10059,10895,1019,152,5077,1183,300297,16492,8758,21513,73876,2091,17728,11903
Hispanic or Latino,736750,2036,6503,17625,2240,2425,1427,1210,360984,7064,2437,31783,138550,31706,7498,57794
"White, non-Hispanic",1965709,3491,33658,30705,4702,2257,12003,4836,897503,52647,15886,86548,238507,4987,58401,23983
