Category,La Paz
Total_doses_administered,18771
Total_people_one_dose,10391
Total_people_complete,9197
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3224
Male-55-64 years,723
Male-45-54 years,358
Male-20-44 years,646
Male-Less than 20 years,238
Female-65 years and older,3118
Female-55-64 years,881
Female-45-54 years,388
Female-20-44 years,563
Female-Less than 20 years,225
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",79
"American Indian or Alaska Native, non-Hispanic",289
Other Race,1183
Hispanic or Latino,1210
Unknown,2758
"White, non-Hispanic",4836
