Category,Navajo
Total_doses_administered,82915
Total_people_one_dose,46633
Total_people_complete,39498
Total_doses_ordered,44905
total_pouluation,112825
Male-65 years and older,7413
Male-55-64 years,3775
Male-45-54 years,2734
Male-20-44 years,5838
Male-Less than 20 years,3284
Female-65 years and older,8146
Female-55-64 years,4064
Female-45-54 years,2708
Female-20-44 years,5209
Female-Less than 20 years,3426
"Black or African American, non-Hispanic",244
"Asian or Pacific Islander, non-Hispanic",432
Hispanic or Latino,2437
Unknown,2507
Other Race,8758
"White, non-Hispanic",15886
"American Indian or Alaska Native, non-Hispanic",16369
