Category,Gila
Total_doses_administered,56845
Total_people_one_dose,30781
Total_people_complete,27500
Total_doses_ordered,39830
total_pouluation,55159
Male-65 years and older,6091
Male-55-64 years,2712
Male-45-54 years,1711
Male-20-44 years,3462
Male-Less than 20 years,872
Female-65 years and older,6440
Female-55-64 years,3028
Female-45-54 years,1802
Female-20-44 years,3606
Female-Less than 20 years,994
"Black or African American, non-Hispanic",102
"Asian or Pacific Islander, non-Hispanic",265
Hispanic or Latino,1427
Other Race,5077
Unknown,5580
"American Indian or Alaska Native, non-Hispanic",6327
"White, non-Hispanic",12003
