Category,Navajo
Total_doses_administered,63418
Total_people_one_dose,35980
Total_people_complete,30888
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6259
Male-55-64 years,2890
Male-45-54 years,1989
Male-20-44 years,4054
Male-Less than 20 years,2642
Female-65 years and older,6748
Female-55-64 years,3178
Female-45-54 years,2037
Female-20-44 years,3410
Female-Less than 20 years,2740
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",374
Unknown,1939
Hispanic or Latino,2089
Other Race,7763
"American Indian or Alaska Native, non-Hispanic",9822
"White, non-Hispanic",13788
