Category,Santa Cruz
Total_doses_administered,68009
Total_people_one_dose,38044
Total_people_complete,34312
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3575
Male-55-64 years,2605
Male-45-54 years,2993
Male-20-44 years,7430
Male-Less than 20 years,2319
Female-65 years and older,4327
Female-55-64 years,2650
Female-45-54 years,2848
Female-20-44 years,6850
Female-Less than 20 years,2378
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",96
Other Race,2003
Unknown,2326
"White, non-Hispanic",4734
Hispanic or Latino,28837
