Category,Pinal
Total_doses_administered,304454
Total_people_one_dose,174131
Total_people_complete,153534
Total_doses_ordered,196918
total_pouluation,455210
Male-65 years and older,29633
Male-55-64 years,13518
Male-45-54 years,12359
Male-20-44 years,27662
Male-Less than 20 years,5087
Female-65 years and older,33996
Female-55-64 years,14459
Female-45-54 years,11125
Female-20-44 years,20515
Female-Less than 20 years,5185
"Asian or Pacific Islander, non-Hispanic",3169
"Black or African American, non-Hispanic",4887
"American Indian or Alaska Native, non-Hispanic",8388
Other Race,18587
Hispanic or Latino,27119
Unknown,35133
"White, non-Hispanic",76848
